file_name	seed	formula_x	formula_y
2021-10-11-21-52_seed_7105.png	7105	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_3284.png	3284	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_9256.png	9256	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_994.png	994	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_3609.png	3609	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-53_seed_9507.png	9507	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_1719.png	1719	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_328.png	328	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_1636.png	1636	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_1274.png	1274	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_1349.png	1349	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
